label,sentence_id,string,npsub0,npsub1,npsub2,npsub3,npsub4,npsub5,npsub6,npsub7,npsub8,npsub9,npsub10,npsub11,npsub12,npsub13,npsub14,npsub15,npdo0,npdo1,npdo2,npdo3,npdo4,npdo5,npdo6,npdo7,npdo8,npdo9,npdo10,npdo11,npdo12,npdo13,npdo14,npdo15,npother0,npother1,npother2,npother3,npother4,npother5,npother6,npother7,npother8,npother9,npother10,npother11,npother12,npother13,npother14,npother15,vp0,vp1,vp2,vp3,vp4,vp5,vp6,vp7,vp8,vp9,vp10,vp11,vp12,vp13,vp14,vp15,vp16,vp17,vp18,vp19,vp20,snw_n,swn_v,swn_a,swn_r,timex
6,4,to_know_what_are_my_first_impressions_of_Italy_,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,my_first_impressions_of_Italy,0,Y,def,impression,NNS,common,pl,3,05916739-N,05833840-N,05809192-N,00023271-N,00001740-N,6,noun.cognition,know,none,none,know,0,0,VB,00594621-V,0,verb.cognition,none,know,0,VB,0,infinitif,active,O,O,O,O,0.20714285714285718,0.1625,0.1741935483870968,0.0,NO
6,4,and_how_we_three_women_get_on_together_?,we_three_women,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,get,positive,how,get,0,2,VBP,02210855-V,0,verb.possession,present,get,0,VBP,0,pres,active,O,O,O,O,0.0,0.07638888888888888,0.0,0.0,NO
6,5,To_be_perfectly_candid_with_you_,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,you,0,NO-NOUN,none,you,PRP,pronoun,unknown,2,O,O,O,O,O,0,O,be,positive,perfectly,candid,0,1,JJ,00764484-A,0,adj.all,none,be,0,VB,0,infinitif,active,O,O,O,O,0.0,0.10714285714285714,0.2903225806451613,0.2903225806451613,NO
1,5,we_ourselves_are_not_wandering_in_sunny_lands_at_present_,we,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,wandering,positive,candid,wander,0,3,VBG,01835496-V,1,verb.motion,present,wander,0,VBG,1,pres_cont,active,01881180-V,O,O,O,0.18181818181818185,0.14488636363636365,0.39589442815249276,0.0,YES
2,5,and_the_cheerful_blaze_of_your_library_fire_would_prove_most_welcome_to_benumbed_fingers_and_pinched_noses_.,the_cheerful_blaze_of_your_library_fire,0,Y,def,blaze,NN,common,sg,3,13439088-N,13480848-N,13450206-N,13530408-N,00001740-N,9,noun.process,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,prove,none,none,prove,0,0,VB,02604760-V,1,verb.stative,none,prove,0,VB,0,cond,active,02633881-V,O,O,O,0.5150375939849624,0.019736842105263157,0.4736842105263158,0.0,NO
2,6,Our_welcome_to_Genoa_was_not_particularly_cheerful_.,Our_welcome_to_Genoa,0,Y,def,welcome,NN,common,sg,3,14413265-N,13932421-N,13927383-N,00024720-N,00001740-N,6,noun.state,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,was,positive,particularly,cheerful,0,2,JJ,00362467-A,0,adj.all,past,be,0,VBD,0,sim_past,active,O,O,O,O,0.0,0.07638888888888888,0.5053763440860216,0.20430107526881722,NO
1,7,It_had_been_raining_for_days_;,It,0,NO-NOUN,none,it,PRP,pronoun,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,raining,none,none,rain,0,0,VBG,02756821-V,1,verb.weather,past,rain,1,VBG,1,past_perf_cont,active,02756558-V,O,O,O,0.32653061224489793,0.3839285714285714,0.0,0.0,YES
3,7,the_sky_was_heavy_with_clouds__and_the_air_chilly_and_damp_.,the_sky,0,Y,def,sky,NN,common,sg,3,09436708-N,09210604-N,14877585-N,14939445-N,00001740-N,6,noun.object,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,chilly,none,none,chilly,0,0,VBP,O,0,O,present,chilly,0,VBP,0,pres,active,O,O,O,O,0.12755102040816327,0.03794642857142857,0.2903225806451613,0.0,NO
2,8,We_can_well_understand,We,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,understand,positive,well,understand,0,1,VB,00588888-V,0,verb.cognition,none,understand,0,VB,0,cond,active,O,O,O,O,0.0,0.2109375,0.0,0.5806451612903227,NO
2,8,why_the_prudent_and_all-informing_Baedeker_advises_invalids_visiting_Genoa_at_this_time,the_prudent_and_all-informing_Baedeker,0,none,def,baedeker,NNP,proper,sg,3,O,O,O,O,10831003-N,0,noun.person,invalids,1,Y,none,invalid,NNS,common,pl,3,10214230-N,10595647-N,09630641-N,00007846-N,00001740-N,9,noun.person,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,visiting,none,none,visit,0,0,VBG,01843055-V,3,verb.social,none,visit,0,VBG,0,other,unknown,02493030-V,O,01845229-V,01845720-V,0.3571428571428572,0.043269230769230775,0.11166253101736975,0.0,NO
2,8,to_guard_against_raw_winds_and_abrupt_changes_of_temperature_.,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,raw_winds_and_abrupt_changes_of_temperature,1,Y,none,wind,NNS,common,pl,3,11525955-N,11524662-N,11425580-N,11419404-N,00001740-N,8,noun.phenomenon,guard,none,none,guard,0,0,VB,00644583-V,3,verb.social,none,guard,0,VB,0,infinitif,active,02456031-V,O,02455407-V,00661824-V,0.6883116883116883,0.05681818181818182,0.39589442815249276,0.0,NO
2,9,We_enjoyed_coming_into_the_fine_harbor_,We,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,coming,none,none,come,0,0,VBG,01835496-V,1,verb.motion,none,come,0,VBG,0,other,unknown,01849221-V,O,O,O,0.2767857142857143,0.2109375,0.24193548387096778,0.0,NO
3,9,around_which_Genoa_is_built_upon_its_hills_and_terraces_in_the_form_of_a_half-circle_,Genoa,0,none,none,genoa,NNP,proper,sg,3,O,O,O,O,08808452-N,0,noun.location,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,built,none,none,build,0,0,VBN,01617192-V,1,verb.creation,present,build,1,VBN,0,pres_perf,active,01654628-V,O,O,O,0.09243697478991597,0.02573529411764706,0.0,0.0,NO
3,9,the_city_widening_out_toward_the_ends_of_the_arc_.,the_city,0,Y,def,city,NN,common,sg,3,08524735-N,08626283-N,08675967-N,08574314-N,00001740-N,8,noun.location,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,widening,none,none,widen,0,1,VBG,00109660-V,3,verb.change,none,widen,0,VBG,0,other,unknown,00303465-V,O,00156601-V,00169651-V,0.0,0.0,0.0,0.0,NO
3,10,On_the_hills___are_many_beautiful_villas_,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,many_beautiful_villas,1,Y,none,villa,NNS,common,pl,3,O,O,O,O,11366405-N,0,noun.person,are,none,none,villa,0,2,NNS,11366405-N,0,noun.person,present,be,0,VBP,0,pres,active,O,O,O,O,0.0,0.065625,0.1741935483870968,0.0,NO
1,10,we_know,we,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,know,none,none,know,0,0,VBP,00594621-V,0,verb.cognition,present,know,0,VBP,0,pres,active,O,O,O,O,0.0,0.45312500000000006,0.0,0.0,NO
3,10,seen_to-day_but_dimly_through_veils_of_mist_,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,veils_of_mist,1,Y,none,veil,NNS,common,pl,3,03502331-N,03419014-N,03051540-N,03122748-N,00001740-N,8,noun.artifact,seen,none,none,see,0,0,VBN,02106506-V,1,verb.perception,none,see,0,VBN,0,other,unknown,02129289-V,O,O,O,0.0,0.07638888888888888,0.0,0.20430107526881722,NO
3,10,and_beyond_are_the_mountains_,the_mountains,0,Y,def,mountain,NNS,common,pl,3,09359803-N,09366317-N,09287968-N,00002684-N,00001740-N,5,noun.object,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,O,O,O,-1,0,O,O,0,O,O,O,-1,O,-1,O,O,O,O,O,O,0.0,0.13020833333333334,0.0,0.0,NO
2,10,which_in_clear_weather_must_add_much_to_the_charm_of_this_old_fortress,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,much,-1,O,O,O,O,O,O,0,O,O,O,O,00059086-R,0,adv.all,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,add,positive,none,add,0,0,VB,00109660-V,3,verb.change,none,add,0,VB,0,cond,active,00182406-V,O,00156601-V,00169651-V,0.12755102040816327,0.03794642857142857,0.2903225806451613,0.0,NO
2,10,as_seen_from_the_sea_.,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,the_sea,0,Y,def,sea,NN,common,sg,3,09426788-N,09225146-N,00002452-N,00001930-N,00001740-N,4,noun.object,seen,none,none,see,0,1,VBN,02106506-V,1,verb.perception,present,see,1,VBN,0,pres_perf,active,02129289-V,O,O,O,0.39285714285714285,0.13020833333333334,0.0,0.0,NO
1,11,Zelphine_says,Zelphine,0,none,none,zelphine,NNP,proper,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,says,none,none,say,0,0,VBZ,00940384-V,1,verb.communication,present,say,0,VBZ,0,pres,active,01009240-V,O,O,O,0.0,0.45312500000000006,0.0,0.0,NO
2,11,that_it_would_be_very_ungrateful_of_us,it,0,NO-NOUN,none,it,PRP,pronoun,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,be,positive,be,ungrateful,0,4,JJ,01147044-A,0,adj.all,none,be,0,VB,0,cond,active,O,O,O,O,0.0,0.08984375,0.24193548387096778,0.24193548387096778,NO
2,11,if_we_were_to_complain_of_cloudy_weather_,we,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,complain,none,none,complain,0,0,VB,00907147-V,0,verb.communication,none,complain,0,VB,0,infinitif,active,O,O,O,O,0.0,0.18402777777777776,0.20430107526881722,0.0,NO
2,11,as_the_skies_might_be_pouring_down_upon_us_instead_of_only_threatening_,the_skies,0,Y,def,sky,NNS,common,pl,3,09436708-N,09210604-N,14877585-N,14939445-N,00001740-N,6,noun.object,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,threatening,O,O,O,-1,0,O,O,0,O,O,O,-1,O,-1,O,O,O,O,O,O,0.0,0.1763392857142857,0.0,0.48387096774193544,NO
2,11,and__after_all__we_are_having_the_same_good_luck_that_we_had_in_Madeira__Granada__and_Algiers,we,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,the_same_good_luck,0,N,def,luck,NN,common,sg,3,14473222-N,13920429-N,00024720-N,00024264-N,00001740-N,5,noun.state,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,had,none,none,have,0,0,VBD,02203362-V,0,verb.possession,past,have,0,VBD,0,sim_past,active,O,O,O,O,0.0551948051948052,0.10085227272727272,0.14956011730205282,0.0,NO
2,11,in_coming_after_the_rain_instead_of_before_it_.,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,the_rain_instead_of_before_it,0,Y,def,rain,NN,common,sg,3,11501381-N,11494638-N,11524662-N,11425580-N,00001740-N,9,noun.phenomenon,coming,none,none,come,0,0,VBG,01835496-V,1,verb.motion,none,come,0,VBG,0,other,unknown,01849221-V,O,O,O,0.0,0.065625,0.0,0.1741935483870968,NO
6,12,And_how_do_we_get_on_together_?,we,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,get,none,how,get,0,1,VB,02210855-V,0,verb.possession,none,get,0,VB,0,other,unknown,O,O,O,O,0.0,0.2109375,0.0,0.0,NO
6,13,Really__monsieur__you_display_courage,you,0,NO-NOUN,none,you,PRP,pronoun,unknown,2,O,O,O,O,O,0,O,courage,0,N,none,courage,NN,common,sg,3,04857083-N,04620558-N,04620216-N,04616059-N,00001740-N,6,noun.attribute,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,display,positive,monsieur,display,0,4,VBP,02137132-V,1,verb.perception,present,display,0,VBP,0,pres,active,02140033-V,O,O,O,0.7244897959183673,0.10714285714285714,0.0,0.2903225806451613,NO
6,13,when_you_ask_that_question_,you,0,NO-NOUN,none,you,PRP,pronoun,unknown,2,O,O,O,O,O,0,O,that_question,0,Y,demon,question,NN,common,sg,3,07193596-N,07193184-N,07185325-N,07160883-N,00001740-N,8,noun.communication,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,ask,none,when,ask,0,1,VBP,02367363-V,3,verb.communication,present,ask,0,VBP,0,pres,active,00784342-V,O,00740577-V,02376958-V,0.39285714285714285,0.13020833333333334,0.0,0.0,NO
6,13,as_I_might_here_and_now_unburden_my_mind_of_a_long_list_of_grievances_.,I,0,NO-NOUN,none,i,PRP,pronoun,unknown,1,O,O,O,O,O,0,O,my_mind_of_a_long_list_of_grievances,0,Y,def,mind,NN,common,sg,3,05611302-N,00023271-N,00023100-N,00002137-N,00001740-N,4,noun.cognition,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,unburden,positive,now,unburden,0,2,VB,02205272-V,1,verb.possession,none,unburden,0,VB,0,cond,active,02360171-V,O,O,O,0.2767857142857143,0.029296875,0.07258064516129034,0.07258064516129034,YES
1,14,As_it_is__however__I_have_so_far_no_woes_to_relate_,it,0,NO-NOUN,none,it,PRP,pronoun,sg,3,O,O,O,O,O,0,O,so_far_no_woes_to_relate,1,Y,none,woe,NNS,common,pl,3,14448910-N,14448333-N,14448200-N,14475661-N,00001740-N,10,noun.state,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,relate,none,none,relate,0,0,VB,00628491-V,1,verb.cognition,none,relate,0,VB,0,infinitif,active,00713167-V,O,O,O,0.11428571428571428,0.1625,0.0,0.2645161290322581,NO
2,14,although_I_know_that_a_sojourn_on_the_Continent_has_wrecked_many_a_friendship_.,a_sojourn_on_the_Continent,0,none,indef,sojourn,NN,common,sg,3,01055360-N,01053617-N,00030358-N,00029378-N,00001740-N,6,noun.act,many_a_friendship,0,Y,indef,friendship,NN,common,sg,3,13931145-N,13928668-N,00024720-N,00024264-N,00001740-N,5,noun.state,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,wrecked,none,none,wreck,0,0,VBD,01564144-V,1,verb.contact,none,wreck,0,VBD,0,other,unknown,01566185-V,O,O,O,0.11428571428571428,0.1625,0.0,0.0,NO
2,15,We_three_must_appear_to_those_who_meet_us_an_ill-assorted_trio_;,those,0,NO-NOUN,none,those,DT,pronoun,unknown,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,meet,none,none,meet,0,0,VBP,02023107-V,0,verb.motion,present,meet,0,VBP,0,pres,active,O,O,O,O,0.14285714285714288,0.11778846153846155,0.0,0.0,NO
2,15,but_because_of_our_individualities_we_may_be_the_better_fitted,we,0,NO-NOUN,none,we,PRP,pronoun,pl,1,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,O,O,O,-1,0,O,O,0,O,O,O,-1,O,-1,O,O,O,O,O,O,0.18181818181818185,0.14488636363636365,0.14956011730205282,0.0,NO
2,15,to_stand_the_crucial_test_of_a_tour_of_indefinite_length_,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,a_tour_of_indefinite_length,0,Y,indef,tour,NN,common,sg,3,00310666-N,00306426-N,00295701-N,00279835-N,00001740-N,10,noun.act,stand,none,none,stand,0,0,VB,02604760-V,2,verb.contact,none,stand,0,VB,0,infinitif,active,01546111-V,O,01545883-V,O,0.1607142857142857,0.049479166666666664,0.3548387096774193,0.0,NO
2,15,whose_only_object_is_pleasure_.,only_object,0,Y,none,object,NN,common,sg,3,00002684-N,00001930-N,O,O,00001740-N,2,noun.Tops,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,is,none,none,pleasure,0,0,NN,00001740-N,5,noun.feeling,present,be,0,VBZ,0,pres,active,07490713-N,00024264-N,00026192-N,00024720-N,0.857142857142857,0.13020833333333334,0.0,0.3548387096774193,NO
3,16,Zelphine_is_the_encyclopædia_of_the_party_,Zelphine,0,none,none,zelphine,NNP,proper,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,is,none,none,encyclopædia,0,1,NN,O,0,O,present,be,0,VBZ,0,pres,active,O,O,O,O,0.0,0.08984375,0.0,0.0,NO
3,16,and__her_information_is_always_on_tap_,her_information,0,N,def,information,NN,common,sg,3,06634376-N,06598915-N,00033020-N,00002137-N,00001740-N,4,noun.communication,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,is,positive,alway,be,0,1,VBZ,02604760-V,0,verb.stative,present,be,0,VBZ,0,pres,active,O,O,O,O,0.5476190476190476,0.07638888888888888,0.0,0.20430107526881722,NO
1,16,as_Angela_says_,Angela,0,none,none,angelum,NNP,proper,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,says,none,none,say,0,0,VBZ,00940384-V,1,verb.communication,present,say,0,VBZ,0,pres,active,01009240-V,O,O,O,0.0,0.2109375,0.0,0.0,NO
3,16,besides_which_she_is_amiable_and_refreshingly_romantic_.,she,0,NO-NOUN,none,she,PRP,pronoun,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,is,none,none,amiable,0,0,JJ,01134232-A,0,adj.all,present,be,0,VBZ,0,pres,active,O,O,O,O,0.0,0.07638888888888888,0.5053763440860216,0.20430107526881722,NO
2,17,It_is_inspiring_to_travel_with_a_woman__no_longer_young_,It,0,NO-NOUN,none,it,PRP,pronoun,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,O,O,O,-1,0,O,O,0,O,O,O,-1,O,-1,O,O,O,O,O,O,0.0,0.043269230769230775,0.32009925558312663,0.0,NO
3,17,"to_whom_the_world_and_its_inhabitants_still_wear_""_the_glory_and_the_dream_._""",the_world_and_its_inhabitants,0,Y,def,world,NN,common,sg,3,09466280-N,00019128-N,00003553-N,00002684-N,00001740-N,5,noun.object,the_glory_and_the_dream,0,Y,def,glory,NN,common,sg,3,14437134-N,14436875-N,13948136-N,13945919-N,00001740-N,7,noun.state,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,wear,positive,still,wear,0,1,VBP,00052374-V,0,verb.body,present,wear,0,VBP,0,pres,active,O,O,O,O,0.2563025210084034,0.02573529411764706,0.0,0.06261859582542695,NO
2,18,On_the_other_hand__when_one_is_suffering_from_the_discomforts_of_travel_to_such_an_extent_that_it_would_be_a_luxury,one,0,NO-NOUN,none,one,PRP,pronoun,sg,3,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,O,-1,O,O,O,O,O,O,0,O,O,O,O,O,0,O,suffering,none,when,suffer,0,1,VBG,00109660-V,3,verb.perception,present,suffer,0,VBG,1,pres_cont,active,02109190-V,O,02110220-V,02108377-V,0.2767857142857143,0.08984375,0.016129032258064516,0.0,NO
